category_list,count
Software,0.13831173060639615
Mobile,0.08731192600794634
Biotechnology,0.06907444799062072
E-Commerce,0.06596430665016609
Curated Web,0.04826418289585097
Social Media,0.046131049306324494
Enterprise Software,0.041392561714322935
Advertising,0.03860808962417769
Games,0.03660522373477496
Health Care,0.03640982218458933
Internet,0.03284374389370156
Education,0.031459649579886666
SaaS,0.031199114179639158
Health and Wellness,0.030596626066566796
Apps,0.029896437178401614
Technology,0.02887057903992705
Finance,0.028740311339803294
Analytics,0.028528626327102194
Clean Technology,0.024099524522894548
Hardware + Software,0.023334201784667493
Services,0.02320393408454374
Manufacturing,0.02224320979613105
Medical,0.0192470526932847
Marketplaces,0.01830261186738748
Fashion,0.017211619878851038
Security,0.017048785253696346
Video,0.016885950628541653
Entertainment,0.01515990360190191
Consulting,0.014948218589200807
Real Estate,0.014752817039015176
Big Data,0.014622549338891422
Information Technology,0.014557415488829545
Travel,0.014475998176252199
Cloud Computing,0.014101478538396404
Social Network Media,0.013629258125447795
Search,0.013433856575262164
Networking,0.013417573112746694
Music,0.013368722725200287
Media,0.013189604637530125
Hospitality,0.013108187324952779
News,0.012863935387220738
Startups,0.012489415749364945
Sports,0.012440565361818538
Retail,0.01239171497427213
Financial Services,0.01237543151175666
Sales and Marketing,0.012294014199179314
FinTech,0.011382140298313033
Web Hosting,0.011365856835797564
Design,0.011349573373282094
Messaging,0.010942486810395363
Semiconductors,0.010388849084869407
Digital Media,0.00962352634664235
Android,0.009525825571549535
Photography,0.00936299094639484
Business Services,0.009216439783755618
Web Development,0.009135022471178271
Medical Devices,0.008907053995961702
Automotive,0.008760502833322477
iPhone,0.008744219370807008
Events,0.008613951670683254
Transportation,0.007930046245033543
Content,0.007864912394971666
Telecommunications,0.007832345469940728
Pharmaceuticals,0.007555526607177751
EdTech,0.007506676219631342
Internet of Things,0.007441542369569465
Location Based Services,0.007441542369569465
Payments,0.007408975444538527
Consumer Electronics,0.007360125056992119
Publishing,0.007246140819383834
Big Data Analytics,0.007115873119260079
Collaboration,0.0069367550315899175
Enterprises,0.006904188106558979
Recruiting,0.006757636943919755
B2B,0.006757636943919755
Mobile Commerce,0.006725070018888816
Health Diagnostics,0.006659936168826939
Consumer Goods,0.006578518856249593
Service Providers,0.006562235393734124
Wireless,0.006383117306063961
Online Shopping,0.0063342669185175535
Human Resources,0.00618771575587833
Fitness,0.006106298443300983
Reviews and Recommendations,0.006090014980785514
Brand Marketing,0.006073731518270045
Internet Marketing,0.005976030743177229
Real Time,0.005976030743177229
iOS,0.005894613430599883
Social Commerce,0.0058620465055689444
Restaurants,0.005845763043053475
CRM,0.005487526867713151
Video Streaming,0.005438676480166742
Public Relations,0.005373542630104865
Energy,0.005226991467465642
Facebook Applications,0.0051944245424347035
Health Care Information Technology,0.0051944245424347035
Crowdsourcing,0.005145574154888296
Customer Service,0.005080440304826418
Shopping,0.00503158991728001
Small and Medium Businesses,0.005015306454764541
Business Intelligence,0.004885038754640787
Social Media Marketing,0.004640786816908747
Lifestyle,0.00457565296684687
Mobile Payments,0.00457565296684687
Electronics,0.0045268025793004625
Hardware,0.004510519116784993
Local,0.004429101804207647
Marketing Automation,0.0043965348791767086
Television,0.004363967954145769
Consumers,0.0043151175665993614
Databases,0.004282550641568423
Venture Capital,0.004266267179052954
Computers,0.0041359994789292
Application Platforms,0.0041197160164137304
Machine Learning,0.004103432553898261
Communities,0.004038298703836384
Finance Technology,0.003989448316289976
Mobile Games,0.003924314466228099
Crowdfunding,0.003875464078681691
Storage,0.0038591806161662216
Web Tools,0.003810330228619814
Training,0.0037451963785579364
Information Services,0.003728912916042467
Logistics,0.003728912916042467
Nonprofits,0.003728912916042467
Predictive Analytics,0.003712629453526998
Productivity Software,0.00366377906598059
Investment Management,0.0036312121409496517
Legal,0.0035986452159187127
Photo Sharing,0.0035986452159187127
Kids,0.0035986452159187127
Developer APIs,0.0035823617534032435
Social Games,0.0034683775157949587
File Sharing,0.0034683775157949587
Email,0.0034520940532794895
Cloud Data Services,0.003370676740702143
iPad,0.003370676740702143
Peer-to-Peer,0.0033381098156712043
Artificial Intelligence,0.0033381098156712043
SEO,0.0032729759656093273
Delivery,0.0032404090405783884
Wearables,0.003224125578062919
Market Research,0.003142708265485573
Healthcare Services,0.0031101413404546344
Travel & Tourism,0.003077574415423696
Beauty,0.003045007490392757
Employment,0.0029961571028463492
Art,0.00297987364033088
Public Transportation,0.0029635901778154107
Mobile Advertising,0.0028984563277535337
Network Security,0.002882172865238064
Project Management,0.002865889402722595
Cars,0.0028496059402071255
Audio,0.0028496059402071255
Environmental Innovation,0.0028333224776916563
Personalization,0.002817039015176187
Hospitals,0.002817039015176187
Advertising Platforms,0.002817039015176187
Banking,0.002800755552660718
Food Processing,0.002800755552660718
Blogging Platforms,0.0027681886276297793
Twitter Applications,0.0027681886276297793
Open Source,0.002735621702598841
Retail Technology,0.002703054777567902
Hotels,0.0026867713150524326
Data Security,0.0026867713150524326
Bitcoin,0.0026704878525369634
Web Design,0.002654204390021494
Loyalty Programs,0.002654204390021494
Insurance,0.002654204390021494
Data Visualization,0.0026216374649905556
Lead Generation,0.002572787077444148
Chat,0.0025565036149286786
Nanotechnology,0.0025565036149286786
Ticketing,0.002540220152413209
Local Businesses,0.0025076532273822704
Colleges,0.002491369764866801
Trading,0.0024425193773203934
Online Reservations,0.0024425193773203934
Career Management,0.0024425193773203934
Life Sciences,0.0024425193773203934
3D,0.002409952452289455
Online Travel,0.002409952452289455
Therapeutics,0.002409952452289455
Development Platforms,0.0023773855272585164
Agriculture,0.0023611020647430468
Online Dating,0.0023448186022275775
Coupons,0.0023448186022275775
Gamification,0.0023285351397121083
Specialty Foods,0.002312251677196639
Optimization,0.002312251677196639
Mobile Software Tools,0.002312251677196639
Renewable Energies,0.0022634012896502313
Robotics,0.002247117827134762
App Marketing,0.002247117827134762
Game,0.0022145509021038235
Parenting,0.0022145509021038235
Video Games,0.0021982674395883543
Tracking,0.0021819839770728846
Energy Efficiency,0.0021657005145574153
Construction,0.0021657005145574153
Virtualization,0.0021657005145574153
Cyber Security,0.0021657005145574153
PaaS,0.002149417052041946
Pets,0.002133133589526477
Broadcasting,0.0021168501270110076
Sensors,0.0021168501270110076
Solar,0.0021005666644955383
Maps,0.002084283201980069
Accounting,0.002084283201980069
Personal Finance,0.0020679997394646
Aerospace,0.0020517162769491306
Entrepreneur,0.0020517162769491306
Mobile Health,0.0020517162769491306
Data Integration,0.0020517162769491306
Clean Energy,0.0020354328144336613
Event Management,0.002019149351918192
Wine And Spirits,0.0020028658894027224
Discounts,0.0020028658894027224
Distribution,0.001986582426887253
Consumer Internet,0.001986582426887253
All Students,0.001970298964371784
VoIP,0.0019540155018563147
Home Automation,0.0019214485768253762
Bio-Pharm,0.0018888816517944377
Graphics,0.0018725981892789682
Innovation Management,0.001856314726763499
Collaborative Consumption,0.0018400312642480297
Risk Management,0.0018400312642480297
Professional Services,0.0018237478017325605
Email Marketing,0.0018237478017325605
Online Rental,0.0018237478017325605
Outsourcing,0.0018237478017325605
Tourism,0.0018237478017325605
Film,0.0018237478017325605
Home & Garden,0.0017911808767016217
E-Commerce Platforms,0.0017911808767016217
SMS,0.0017748974141861525
Communications Infrastructure,0.0017586139516706832
Language Learning,0.0017586139516706832
Property Management,0.001742330489155214
Supply Chain Management,0.001742330489155214
Gift Card,0.0017260470266397447
Private Social Networking,0.0017260470266397447
Developer Tools,0.0017097635641242753
Diagnostics,0.0017097635641242753
Online Scheduling,0.0017097635641242753
3D Printing,0.001693480101608806
Ediscovery,0.0016609131765778675
Document Management,0.0016609131765778675
Printing,0.0016609131765778675
Tablets,0.0016609131765778675
Ad Targeting,0.0016446297140623983
Incentives,0.001628346251546929
Business Development,0.001628346251546929
Creative,0.001628346251546929
Industrial,0.0016120627890314596
Leisure,0.0015957793265159903
Information Security,0.0015632124014850518
Freelancers,0.0015632124014850518
Virtual Worlds,0.0015632124014850518
Augmented Reality,0.0015469289389695826
Women,0.0015469289389695826
Promotional,0.0015469289389695826
Local Search,0.0015469289389695826
Cloud Infrastructure,0.001530645476454113
Price Comparison,0.0015143620139386439
Business Analytics,0.0014980785514231746
Point of Sale,0.0014817950889077054
Auctions,0.0014817950889077054
Infrastructure,0.0014817950889077054
Semantic Search,0.0014655116263922361
Mobility,0.0014492281638767669
Cloud Management,0.0014492281638767669
Content Delivery,0.0014492281638767669
Testing,0.0014166612388458281
Data Mining,0.001400377776330359
Personal Health,0.001400377776330359
Gps,0.001400377776330359
Online Education,0.001400377776330359
Data Centers,0.001400377776330359
Monetization,0.0013840943138148896
User Experience Design,0.0013840943138148896
Navigation,0.0013840943138148896
Identity,0.0013840943138148896
Online Gaming,0.0013678108512994204
Web CMS,0.0013678108512994204
Non Profit,0.0013678108512994204
K-12 Education,0.001351527388783951
Mobile Devices,0.001351527388783951
Content Discovery,0.001351527388783951
Weddings,0.0013352439262684817
Subscription Businesses,0.0013189604637530124
Utilities,0.0013189604637530124
Sustainability,0.0013189604637530124
Universities,0.0013026770012375432
Product Design,0.0012701100762066045
Shipping,0.0012701100762066045
Visualization,0.0012701100762066045
Energy Management,0.0012701100762066045
Water,0.0012701100762066045
Image Recognition,0.0012538266136911352
Sales Automation,0.0012538266136911352
Task Management,0.0012212596886601967
Music Services,0.0012049762261447275
Oil,0.0012049762261447275
Privacy,0.0011886927636292582
IT Management,0.0011886927636292582
Classifieds,0.0011724093011137888
Cosmetics,0.0011724093011137888
3D Technology,0.0011724093011137888
Innovation Engineering,0.0011724093011137888
Groceries,0.0011561258385983195
Social Buying,0.0011561258385983195
Nutrition,0.0011561258385983195
Mobile Security,0.0011561258385983195
Systems,0.0011561258385983195
Billing,0.0011561258385983195
Jewelry,0.0011398423760828503
Portals,0.0011398423760828503
Professional Networking,0.0011398423760828503
mHealth,0.0011398423760828503
Contact Management,0.001123558913567381
Tutoring,0.001123558913567381
Oil & Gas,0.001123558913567381
Drones,0.001123558913567381
Teachers,0.0011072754510519118
Green,0.0011072754510519118
Surveys,0.0011072754510519118
Customer Support Tools,0.0011072754510519118
Social CRM,0.0010909919885364423
Clinical Trials,0.0010909919885364423
Cloud Security,0.001074708526020973
Recycling,0.001074708526020973
Computer Vision,0.001074708526020973
Organic Food,0.001074708526020973
Commercial Real Estate,0.001074708526020973
Video on Demand,0.0010584250635055038
Rental Housing,0.0010584250635055038
Educational Games,0.0010421416009900345
Social Search,0.0010421416009900345
Journalism,0.0010258581384745653
Natural Language Processing,0.001009574675959096
Furniture,0.001009574675959096
Translation,0.001009574675959096
Knowledge Management,0.0009932912134436266
Vacation Rentals,0.0009932912134436266
Social Recruiting,0.0009932912134436266
Credit,0.0009932912134436266
Chemicals,0.0009932912134436266
Bridging Online and Offline,0.0009932912134436266
Sporting Goods,0.0009770077509281573
App Stores,0.0009770077509281573
Search Marketing,0.0009770077509281573
Meeting Software,0.0009770077509281573
Politics,0.0009770077509281573
Algorithms,0.0009607242884126881
Home Decor,0.0009607242884126881
Semantic Web,0.0009607242884126881
Engineering Firms,0.0009444408258972188
Governments,0.0009444408258972188
Gambling,0.0009444408258972188
Health and Insurance,0.0009444408258972188
Social + Mobile + Local,0.0009444408258972188
Incubators,0.0009444408258972188
Architecture,0.0009281573633817495
Charity,0.0009281573633817495
Concerts,0.0009281573633817495
Doctors,0.0009281573633817495
Digital Signage,0.0009118739008662802
Lifestyle Products,0.0009118739008662802
Fantasy Sports,0.0009118739008662802
Entertainment Industry,0.0009118739008662802
Waste Management,0.0008955904383508109
Credit Cards,0.0008955904383508109
Social Media Platforms,0.0008955904383508109
Stock Exchanges,0.0008793069758353416
High Schools,0.0008793069758353416
Virtual Currency,0.0008630235133198724
Fraud Detection,0.0008630235133198724
Lighting,0.0008630235133198724
Content Creators,0.0008630235133198724
NFC,0.0008630235133198724
Career Planning,0.000846740050804403
Business Productivity,0.000846740050804403
Social Television,0.000846740050804403
Video Conferencing,0.000846740050804403
Skill Assessment,0.000846740050804403
Reputation,0.000846740050804403
Social Media Monitoring,0.000846740050804403
Product Development Services,0.000846740050804403
Mobile Analytics,0.000846740050804403
Industrial Automation,0.0008304565882889338
Identity Management,0.0008304565882889338
Toys,0.0008141731257734645
M2M,0.0008141731257734645
Direct Marketing,0.0008141731257734645
IT and Cybersecurity,0.0007978896632579952
Opinions,0.0007978896632579952
Browser Extensions,0.0007978896632579952
Electrical Distribution,0.0007978896632579952
Artists Globally,0.0007978896632579952
Mobile Video,0.0007816062007425259
Wholesale,0.0007816062007425259
Online Video Advertising,0.0007816062007425259
Social Fundraising,0.0007816062007425259
E-Books,0.0007816062007425259
Defense,0.0007816062007425259
Embedded Hardware and Software,0.0007816062007425259
Farming,0.0007816062007425259
Textbooks,0.0007816062007425259
Home Renovation,0.0007653227382270566
Nightlife,0.0007653227382270566
Natural Resources,0.0007653227382270566
Social Media Advertising,0.0007653227382270566
Advice,0.0007653227382270566
Geospatial,0.0007653227382270566
P2P Money Transfer,0.0007653227382270566
Cooking,0.0007653227382270566
Digital Entertainment,0.0007653227382270566
Communications Hardware,0.0007653227382270566
Electric Vehicles,0.0007490392757115873
Mobile Social,0.0007490392757115873
Presentations,0.0007490392757115873
Law Enforcement,0.0007490392757115873
Parking,0.0007490392757115873
Staffing Firms,0.0007327558131961181
Shoes,0.0007327558131961181
Craft Beer,0.0007327558131961181
Local Based Services,0.0007327558131961181
Corporate Training,0.0007164723506806487
Polling,0.0007164723506806487
Advertising Networks,0.0007164723506806487
Flash Storage,0.0007164723506806487
Local Advertising,0.0007164723506806487
Electronic Health Records,0.0007001888881651794
Psychology,0.0007001888881651794
University Students,0.0007001888881651794
QR Codes,0.0007001888881651794
Mass Customization,0.0006839054256497102
Dental,0.0006839054256497102
